VENITURI TOTALE;Casa si conturi la banci;CHELTUIELI TOTALE;Pierdere neta;DATORII;Cifra de afaceri neta;Numar mediu de salariati;ACTIVE IMOBILIZATE - TOTAL;VENITURI IN AVANS;Profitul net;Pierdere bruta;Profitul brut;CHELTUIELI IN AVANS;ACTIVE CIRCULANTE - TOTAL din care:;CUI;CAEN;DENUMIRE;COD_INMATRICULARE
293378;65510;138876;0;21057;287699;2;8688;0;151625;0;154502;0;168234;33960868;9329;KIDS PROTEKT PLAY S.R.L.;J39/20/2015
90179;182717;43549;0;3858;90179;2;13558;0;45728;0;46630;0;183680;33960868;9329;KIDS PROTEKT PLAY S.R.L.;J39/20/2015
39500;36069;36828;0;428;39500;1;81229;0;2306;0;2672;0;171539;35663294;9329;TOP EXCLUSIV EVENTS SRL;J4/248/2016
49752;13653;25996;0;3332;49752;1;81229;0;23222;0;23756;0;36554;35663294;9329;TOP EXCLUSIV EVENTS SRL;J4/248/2016
0;10000;141608;141608;0;0;0;81229;0;0;141608;0;0;10000;35663294;9329;TOP EXCLUSIV EVENTS SRL;J4/248/2016
0;27438;19473;19503;0;0;0;81229;0;0;19473;0;0;151608;35663294;9329;TOP EXCLUSIV EVENTS SRL;J4/248/2016
11917;358;15670;4111;50913;0;1;0;0;0;3753;0;0;358;34749452;9329;HOME KIDS SRL;J52/413/2015
3514821;263501;2591990;0;675064;3384922;12;666204;0;894059;0;922831;0;1307056;35983329;9329;LE BRUNCH GOURMET SRL;J40/5830/2016
8906780;464136;6927137;0;5079142;8893555;7;762129;0;1670610;0;1979643;4220;8089286;33933162;9329;ALPHA SHOT SRL;J40/14985/2014
1698784;218284;2013693;314909;700314;1677137;1;87293;0;0;314909;0;2860;772733;33043962;9319;ECOXTREM CONSULTING SRL;J40/4460/2014
18717474;755155;16366768;0;1135186;18706644;3;153916;0;2034768;0;2350706;20438;3025600;33043962;9319;ECOXTREM CONSULTING SRL;J40/4460/2014
17616848;753458;15111772;0;4063102;17535605;3;202257;0;2309685;0;2505076;13138;6187392;33043962;9319;ECOXTREM CONSULTING SRL;J40/4460/2014
5878013;1629696;4082288;0;606765;5058050;1;58061;0;1755520;0;1795725;13876;2519023;33043962;9319;ECOXTREM CONSULTING SRL;J40/4460/2014
0;2;15218;15218;69234;0;0;0;0;0;15218;0;0;2;35136308;9313;PERFECT BODY CLUB S.R.L.;J24/1029/2015
0;2;0;0;69234;0;0;0;0;0;0;0;0;2;35136308;9313;PERFECT BODY CLUB S.R.L.;J24/1029/2015
0;2;0;0;69234;0;0;0;0;0;0;0;0;2;35136308;9313;PERFECT BODY CLUB S.R.L.;J24/1029/2015
0;2;0;0;69234;0;0;0;0;0;0;0;0;2;35136308;9313;PERFECT BODY CLUB S.R.L.;J24/1029/2015
706;44;4156;3491;3301;706;0;3686;0;0;3450;0;0;44;36274821;9311;YOUTH-SPORT INVEST SRL;J37/422/2016
0;-47;13837;13837;3388;0;1;0;0;0;13837;0;0;-47;31183420;9329;TIMOLAND SAPTE SRL;J6/62/2013
264769;51529;246403;0;709295;263410;2;529808;0;16786;0;18366;7395;82751;31314178;9311;BUSINESS SPORT BISTRITA SRL;J6/131/2013
632305;96874;481039;0;1199057;632233;5;1211246;0;144749;0;151266;0;173033;31314178;9311;BUSINESS SPORT BISTRITA SRL;J6/131/2013
407667;33380;357148;0;733243;407667;4;622886;0;46442;0;50519;0;150831;31314178;9311;BUSINESS SPORT BISTRITA SRL;J6/131/2013
317046;35400;230502;0;738723;309250;4;620238;0;83373;0;86544;0;112517;31314178;9311;BUSINESS SPORT BISTRITA SRL;J6/131/2013
5991093;221615;5480823;0;2481696;5694570;1;2172248;0;474851;0;510270;2275;2488623;31221249;9329;TURABOSON SRL;J17/179/2013
7863199;751543;6506462;0;1675461;7761718;4;348557;0;1191953;0;1356737;0;3638964;34454796;9329;MYADORA DECORATEC SRL;J17/558/2015
6106573;97714;5197008;0;1915236;6056735;3;41475;0;845256;0;909565;0;3037348;34454796;9329;MYADORA DECORATEC SRL;J17/558/2015
42940;23570;24565;0;26667;42940;0;17743;0;13915;0;18375;0;26231;31606180;9329;ST. PATRICK'S CORPORATION SRL;J35/1190/2013
5362144;453457;5155861;0;5594117;4867614;47;5298557;108477;178311;0;206283;0;1596038;34152763;9329;MP RIVERSIDE GROUP SRL;J35/431/2015
25134345;731138;23439261;0;24423105;9975890;42;31154988;11261874;1605256;0;1695084;8184;10102777;34152763;9321;MP RIVERSIDE GROUP SRL;J35/431/2015
12178109;231747;9712878;0;6098674;10552295;43;7036816;11294403;2430266;0;2465231;6121;14619659;34152763;9329;MP RIVERSIDE GROUP SRL;J35/431/2015
8520177;922907;6355967;0;5406513;6688895;29;5695138;11679426;2129944;0;2164210;8101;13589057;34152763;9329;MP RIVERSIDE GROUP SRL;J35/431/2015
0;12967;0;0;569;0;0;72;0;0;0;0;0;17013;35561138;9329;DO-MO EUROSTAR EVENTS SRL;J2/154/2016
0;12967;72;72;569;0;0;0;0;0;72;0;0;17013;35561138;9329;DO-MO EUROSTAR EVENTS SRL;J2/154/2016
0;12967;72;72;569;0;0;0;0;0;72;0;0;17013;35561138;9329;DO-MO EUROSTAR EVENTS SRL;J2/154/2016
0;12967;0;0;569;0;0;72;0;0;0;0;0;17013;35561138;9329;DO-MO EUROSTAR EVENTS SRL;J2/154/2016
4983541;134780;4097935;0;646616;4942690;11;155803;0;846068;0;885606;14612;2466849;35930944;9319;SLF MEDIA SRL;J26/548/2016
2493646;186950;1662227;0;1552163;881094;8;1814224;0;807069;0;831419;0;331258;15693916;9329;EVENTS CENTER MEDIAŞ SRL;J32/1084/2003
0;231;0;0;14879;0;0;0;0;0;0;0;0;231;15076040;9329;LARISA GEORGIANA SRL;J38/590/2002
0;231;769;769;14879;0;0;0;0;0;769;0;0;231;15076040;9329;LARISA GEORGIANA SRL;J38/590/2002
88787;8297;49424;0;81087;80413;2;110705;0;38266;0;39363;0;20807;17609556;9319;ROGO FISH SRL;J20/877/2005
1055164;242512;1937864;882700;10902412;1026563;59;389554;0;0;882700;0;0;3012781;27212889;9312;FOTBAL CLUB VOLUNTARI SA;J23/2026/2010
1667800;1117098;3000502;1332702;130475632;1363072;38;160310;0;0;1332702;0;0;118795557;27212889;9312;FOTBAL CLUB VOLUNTARI SA;J23/2026/2010
1523676;103744;2675903;1152227;116969111;1411125;41;267993;0;0;1152227;0;0;106514055;27212889;9312;FOTBAL CLUB VOLUNTARI SA;J23/2026/2010
745007;397271;2279766;1534759;11038821;640794;53;300288;0;0;1534759;0;0;1703697;27212889;9312;FOTBAL CLUB VOLUNTARI SA;J23/2026/2010
575891;218849;752063;181504;6719016;572404;1;7290377;188987;0;176172;0;27133;602098;15285526;9329;AMP INVEST SRL;J29/433/2003
